Category	Term	Pathway	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GO	GO:0000908	taurine dioxygenase activity	3	0.505050505	0.030550911	"PA0194, PA3935, PA2310"	388	3	3695	9.523195876	0.999974589	1	1
GO	GO:0003677	DNA binding	34	5.723905724	0.07001428	"PA3495, PA4269, PA0728, PA1978, PA1759, PA3699, PA2885, PA0243, PA3830, PA1397, PA3574, PA3385, PA2010, PA5348, PA4931, PA2050, PA0906, PA1627, PA1526, PA0533, PA4270, PA3921, PA3007, PA3689, PA3249, PA3864, PA0279, PA0155, PA0475, PA1003, PA2332, PA3322, PA3168, PA4057"	388	244	3695	1.327002704	1	1	1
GO	GO:0008237	metallopeptidase activity	6	1.01010101	0.085001614	"PA0372, PA5319, PA1005, PA4472, PA2884, PA2783"	388	23	3695	2.484311968	1	1	1
GO	GO:0004497	monooxygenase activity	4	0.673400673	0.099626311	"PA2326, PA2587, PA2355, PA4155"	388	11	3695	3.462980319	1	1	1
INTERPRO	IPR005119	"LysR, substrate-binding"	26	4.377104377	5.99E-04	"PA2383, PA4902, PA0528, PA1859, PA1738, PA1998, PA2469, PA0784, PA3776, PA5179, PA2054, PA0491, PA3845, PA2877, PA1128, PA2534, PA4174, PA0133, PA2510, PA0056, PA3565, PA1223, PA1003, PA1201, PA2551, PA3321"	518	121	4934	2.046714956	0.390672767	0.281585314	0.281585314
INTERPRO	IPR000847	"Transcription regulator HTH, LysR"	26	4.377104377	6.81E-04	"PA2383, PA4902, PA0528, PA1859, PA1738, PA1998, PA2469, PA0784, PA3776, PA5179, PA2054, PA0491, PA3845, PA2877, PA1128, PA2534, PA4174, PA0133, PA2510, PA0056, PA3565, PA1223, PA1003, PA1201, PA2551, PA3321"	518	122	4934	2.029938604	0.430708383	0.281585314	0.281585314
INTERPRO	IPR011991	Winged helix-turn-helix DNA-binding domain	5	0.841750842	0.039500957	"PA2082, PA0547, PA3965, PA0279, PA2246"	518	13	4934	3.663498663	1	1	1
INTERPRO	IPR011008	Dimeric alpha-beta barrel	6	1.01010101	0.061248184	"PA2082, PA3390, PA2765, PA3436, PA2246, PA0709"	518	21	4934	2.72145615	1	1	1
INTERPRO	IPR013976	Metal-dependent hydrolase HDOD	3	0.505050505	0.088454842	"PA0758, PA4955, PA0267"	518	5	4934	5.715057915	1	1	1
INTERPRO	IPR016161	Aldehyde/histidinol dehydrogenase	6	1.01010101	0.098917229	"PA4899, PA0219, PA4448, PA0898, PA1027, PA2323"	518	24	4934	2.381274131	1	1	1
KEGG	pae00770	Pantothenate and CoA biosynthesis	6	1.01010101	0.060891509	"PA1417, PA4899, PA4180, PA5320, PA4397, PA0440"	176	25	2001	2.728636364	0.998634928	1	1
KEGG	pae01230	Biosynthesis of amino acids	19	3.198653199	0.075308773	"PA4960, PA5522, PA2040, PA5206, PA4448, PA4846, PA1927, PA1417, PA4180, PA3736, PA2843, PA0036, PA5131, PA2796, PA2531, PA3356, PA3113, PA3167, PA3475"	176	145	2001	1.489772727	0.999731059	1	1
KEGG	pae00330	Arginine and proline metabolism	8	1.346801347	0.083595947	"PA0292, PA4899, PA0219, PA0898, PA0654, PA3713, PA0895, PA3366"	176	44	2001	2.06714876	0.999895495	1	1
KEGG	pae00540	Lipopolysaccharide biosynthesis	6	1.01010101	0.091260741	"PA3242, PA0936, PA4996, PA4406, PA3643, PA5012"	176	28	2001	2.436282468	0.999956736	1	1
